"","rhoSSB","Year","Scenario"
"711",0.20373201222146,2022,13
"712",0.241402455291829,2023,13
"713",0.281357398207968,2024,13
"714",0.322134155350496,2025,13
"715",0.371337944774513,2026,13
"716",0.521783126611223,2027,13
"717",0.685969422721466,2028,13
"718",0.717831668011726,2029,13
"719",0.710282749959585,2030,13
"720",0.630132502516556,2031,13
"721",0.551479890838799,2032,13
"722",0.437603378218986,2033,13
"723",0.357620895298864,2034,13
"724",0.261224089428646,2035,13
"725",0.212140976210889,2036,13
"726",0.175311332117687,2037,13
"727",0.168129346509068,2038,13
"728",0.182389722442828,2039,13
"729",NA,1984,14
"730",NA,1985,14
"731",NA,1986,14
"732",NA,1987,14
"733",NA,1988,14
"734",NA,1989,14
"735",NA,1990,14
"736",NA,1991,14
"737",NA,1992,14
"738",NA,1993,14
"739",NA,1994,14
"740",NA,1995,14
"741",NA,1996,14
"742",NA,1997,14
"743",NA,1998,14
"744",NA,1999,14
"745",NA,2000,14
"746",NA,2001,14
"747",NA,2002,14
"748",NA,2003,14
"749",NA,2004,14
"750",NA,2005,14
"751",NA,2006,14
"752",NA,2007,14
"753",NA,2008,14
"754",NA,2009,14
"755",NA,2010,14
"756",NA,2011,14
"757",NA,2012,14
"758",NA,2013,14
"759",NA,2014,14
"760",NA,2015,14
"761",NA,2016,14
"762",NA,2017,14
"763",NA,2018,14
"764",NA,2019,14
"765",0.121674338137438,2020,14
"766",0.169276489714103,2021,14
"767",0.212533633937095,2022,14
"768",0.252368645342348,2023,14
"769",0.290765075547852,2024,14
"770",0.329275163075945,2025,14
"771",0.374766247178935,2026,14
"772",0.525160399425721,2027,14
"773",0.646887384371686,2028,14
"774",0.667034707399926,2029,14
"775",0.646558935263054,2030,14
"776",0.575285136179034,2031,14
"777",0.505459746725787,2032,14
"778",0.403459495711943,2033,14
"779",0.328770623104778,2034,14
"780",0.255282829170198,2035,14
"781",0.211197807031651,2036,14
"782",0.177633242172981,2037,14
"783",0.179017240319695,2038,14
"784",0.193173408000884,2039,14
"785",NA,1984,15
"786",NA,1985,15
"787",NA,1986,15
"788",NA,1987,15
"789",NA,1988,15
"790",NA,1989,15
"791",NA,1990,15
"792",NA,1991,15
"793",NA,1992,15
"794",NA,1993,15
"795",NA,1994,15
"796",NA,1995,15
"797",NA,1996,15
"798",NA,1997,15
"799",NA,1998,15
"800",NA,1999,15
"801",NA,2000,15
"802",NA,2001,15
"803",NA,2002,15
"804",NA,2003,15
"805",NA,2004,15
"806",NA,2005,15
"807",NA,2006,15
"808",NA,2007,15
"809",NA,2008,15
