"","rhoF","Year","Scenario"
"1009",NA,1984,19
"1010",NA,1985,19
"1011",NA,1986,19
"1012",NA,1987,19
"1013",NA,1988,19
"1014",NA,1989,19
"1015",NA,1990,19
"1016",NA,1991,19
"1017",NA,1992,19
"1018",NA,1993,19
"1019",NA,1994,19
"1020",NA,1995,19
"1021",NA,1996,19
"1022",NA,1997,19
"1023",NA,1998,19
"1024",NA,1999,19
"1025",NA,2000,19
"1026",NA,2001,19
"1027",NA,2002,19
"1028",NA,2003,19
"1029",NA,2004,19
"1030",NA,2005,19
"1031",NA,2006,19
"1032",NA,2007,19
"1033",NA,2008,19
"1034",NA,2009,19
"1035",NA,2010,19
"1036",NA,2011,19
"1037",NA,2012,19
"1038",NA,2013,19
"1039",NA,2014,19
"1040",NA,2015,19
"1041",NA,2016,19
"1042",NA,2017,19
"1043",NA,2018,19
"1044",NA,2019,19
"1045",-0.129668332620541,2020,19
"1046",-0.178304734686621,2021,19
"1047",-0.21635234811375,2022,19
"1048",-0.24888280793249,2023,19
"1049",-0.266421044355389,2024,19
"1050",-0.275379677350324,2025,19
"1051",-0.270102344305327,2026,19
"1052",-0.281011221270226,2027,19
